Année,Département,Féminin,Masculin,Total,Taux de Réussite (%),Total des candidats
2019,Alibori,792,1870,2662,34.43,100024.0
2019,Atacora,1238,3496,4734,39.94,
2019,Atlantique,8511,12614,21125,56.28,
2019,Borgou,3478,7748,11226,44.27,
2019,Collines,1944,5721,7665,44.02,
2019,Couffo,897,3129,4026,44.02,
2019,Donga,627,2039,2666,39.92,
2019,Littoral,5716,7751,13467,57.85,
2019,Mono,1529,3429,4958,49.98,
2019,Ouémé,5954,9880,15834,50.66,
2019,Plateau,876,2224,3100,48.27,
2019,Zou,2396,6165,8561,51.78,
2020,Alibori,745,1723,2468,35.21,95413.0
2020,Atacora,1246,2965,4211,38.64,
2020,Atlantique,9615,12617,22232,54.96,
2020,Borgou,3540,6859,10399,42.78,
2020,Collines,1791,4836,6627,37.22,
2020,Couffo,856,2652,3508,47.68,
2020,Donga,575,1743,2318,38.79,
2020,Littoral,5889,7359,13248,57.4,
2020,Mono,1536,3014,4550,53.81,
2020,Ouémé,6132,9398,15530,52.29,
2020,Plateau,963,2277,3240,47.48,
2020,Zou,2160,4922,7082,49.65,
2021,Alibori,726,1480,2206,55.06,82958.0
2021,Atacora,1187,2550,3737,55.95,
2021,Atlantique,8685,10799,19484,70.4,
2021,Borgou,3129,5642,8771,57.73,
2021,Collines,1747,4218,5965,51.76,
2021,Couffo,772,2166,2938,54.96,
2021,Donga,556,1396,1952,56.07,
2021,Littoral,5146,6192,11338,73.38,
2021,Mono,1344,2466,3810,64.37,
2021,Ouémé,5678,8007,13685,64.67,
2021,Plateau,961,1975,2936,64.64,
2021,Zou,2006,4130,6136,65.39,
2022,Alibori,672,1268,1940,49.49,77416.0
2022,Atacora,1085,2179,3264,52.47,
2022,Atlantique,8888,10100,18988,65.68,
2022,Borgou,3171,5073,8244,54.59,
2022,Collines,1623,3456,5079,47.01,
2022,Couffo,754,1762,2516,56.53,
2022,Donga,532,1123,1655,57.3,
2022,Littoral,5157,5635,10792,64.53,
2022,Mono,1240,2010,3250,59.77,
2022,Ouémé,6115,7543,13658,58.15,
2022,Plateau,924,1769,2693,50.5,
2022,Zou,1887,3450,5337,57.47,
2023,Alibori,762,1294,2056,53.66,77564.0
2023,Atacora,1158,2113,3271,55.09,
2023,Atlantique,8524,9473,17997,69.4,
2023,Borgou,3094,4660,7754,57.21,
2023,Collines,1944,3569,5513,52.49,
2023,Couffo,671,1334,2005,63.18,
2023,Donga,626,1181,1807,53.18,
2023,Littoral,5225,5654,10879,68.4,
2023,Mono,1429,2135,3564,63.18,
2023,Ouémé,6631,7802,14433,63.29,
2023,Plateau,1060,1879,2939,56.85,
2023,Zou,1984,3362,5346,64.69,
