Année,Série,Inscrits,Féminin,Masculin,Taux de réussite  (%),Total des candidats,Total de réussite  (%)
2019,A1,2558,,,54.92,100024.0,"50,10"
2019,A2,34541,,,49.31,,
2019,B,16737,,,60.18,,
2019,C,3334,,,66.34,,
2019,D,36702,,,42.1,,
2020,A1,2404,762.0,1642.0,61.14,95413.0,"49,73"
2020,A2,30500,11866.0,18634.0,44.65,,
2020,B,16497,7182.0,9315.0,60.75,,
2020,C,3387,775.0,2612.0,62.44,,
2020,D,34985,11676.0,23309.0,45.61,,
2021,A1,2273,724.0,1549.0,76.28,82958.0,"64,42"
2021,A2,25144,10361.0,14783.0,64.32,,
2021,B,13804,6393.0,7411.0,74.14,,
2021,C,3167,787.0,2380.0,61.12,,
2021,D,31501,11223.0,20278.0,58.21,,
2022,A1,2046,716.0,1330.0,77.53,77416.0,"58,49"
2022,A2,22005,9865.0,12140.0,67.52,,
2022,B,13564,6754.0,6810.0,73.28,,
2022,C,2830,720.0,2110.0,64.49,,
2022,D,28890,10988.0,17902.0,42.77,,
2023,A1,1872,755.0,1117.0,70.58,77564.0,"63,08"
2023,A2,19164,8832.0,10332.0,66.67,,
2023,B,13696,6986.0,6710.0,76.22,,
2023,C,2851,734.0,2117.0,73.67,,
2023,D,30771,12650.0,18121.0,53.24,,
